epoch,loss,accuracy,binary_f1
1,1413.813526213169,0.6020642201834863,0.6034285714285714
2,1348.7837129235268,0.6479357798165137,0.6442641946697567
3,1273.9365996420383,0.6869266055045872,0.6865671641791045
4,1197.5056947469711,0.7064220183486238,0.7211328976034859
5,1123.629869490862,0.7190366972477065,0.7167630057803469
6,1052.650895357132,0.7259174311926605,0.7249712313003451
7,988.4837112575769,0.7385321100917431,0.7279236276849642
8,929.7342232018709,0.7408256880733946,0.7341176470588235
9,877.13013638556,0.7580275229357798,0.7502958579881657
10,829.2558703571558,0.7591743119266054,0.7494033412887828
11,786.4878732860088,0.7637614678899083,0.7493917274939172
12,746.8660382479429,0.7660550458715596,0.7565632458233892
13,712.6650442928076,0.7729357798165137,0.7670588235294118
14,681.1111011877656,0.7798165137614679,0.7746478873239436
15,651.7573073133826,0.7821100917431193,0.7795823665893272
16,625.947741754353,0.783256880733945,0.7758007117437724
17,601.3247738704085,0.7878440366972477,0.7846332945285215
18,579.280737131834,0.7935779816513762,0.7911832946635732
19,558.9666173197329,0.7878440366972477,0.7794994040524434
20,539.9756775386631,0.7878440366972477,0.7826086956521738
21,523.072657905519,0.7901376146788991,0.7894131185270425
22,507.122781008482,0.7855504587155964,0.7812865497076023
23,491.2610364742577,0.7901376146788991,0.784452296819788
24,477.6711373850703,0.7958715596330275,0.7875894988066826
25,464.2373489178717,0.7889908256880734,0.7840375586854461
26,451.7267432529479,0.7912844036697247,0.7868852459016393
27,440.37866797856987,0.7935779816513762,0.7892271662763466
28,428.91820772551,0.7924311926605505,0.7863046044864228
29,419.06758700031787,0.7901376146788991,0.7869615832363213
30,408.9788239803165,0.7958715596330275,0.7855421686746988
